Title,Album,Year,artist
A Vision of Mother,Don't Cheat in Our Hometown,1983.0,Carter Stanley
A Vision of Mother,Don't Cheat in Our Hometown,1983.0,Ralph Stanley
Afraid to Love Again,Just the Two of Us,1968.0,Jerry Chesnut
Afraid to Love Again,Just the Two of Us,1968.0,Theresa Beaty
After the Gold Rush,Trio II,1999.0,Neil Young
All I Need Is You,Two of a Kind,1971.0,Betty Jean Robinson
All I Want for Christmas Is You,A Holly Dolly Christmas,2020.0,Mariah Carey
All I Want for Christmas Is You,A Holly Dolly Christmas,2020.0,Walter Afanasieff
"Always, Always","Always, Always",1969.0,Joyce McCord
Angels and Eagles,Happy Face,2004.0,Devon O'Day
Anything's Better Than Nothing,"Always, Always",1969.0,Marie Wilson
Are You Tired of Me,The Complete Trio Collection,2016.0,A.P. Carter
"Baby, It's Cold Outside","Stardust: The Great American Songbook, Volume III",2004.0,Frank Loesser
Because One of Us Was Wrong,Just Between You and Me,1968.0,Bill Owens
Before I Met You,Just Between You and Me,1968.0,Charles L. Seitz
Before I Met You,Just Between You and Me,1968.0,Elmer Rader
Before I Met You,Just Between You and Me,1968.0,Joe Lewis
Before Our Weakness Gets Too Strong,Once More,1970.0,Louis Owens
Better Move It on Home,The Best of Porter Wagoner & Dolly Parton,1971.0,Ray Griff
Blowin' in the Wind,Those Were the Days,2005.0,Bob Dylan
"Bluegrass, White Snow",Bluegrass & White Snow: A Mountain Christmas,2002.0,Emory Gordy Jr.
Both Sides Now,Those Were the Days,2005.0,Joni Mitchell
Calling My Children Home,The Complete Trio Collection,2016.0,Charles Waller
Calling My Children Home,The Complete Trio Collection,2016.0,Doyle Lawson
Calling My Children Home,The Complete Trio Collection,2016.0,Robert Yates
Chet's Tune (Part 2),"""Chet's Tune"" B-side",1972.0,Cy Coben
Christmas Where We Are,A Holly Dolly Christmas,2020.0,Barry Jobe
Christmas Where We Are,A Holly Dolly Christmas,2020.0,Jada Roberts
Christmas Without You,Once Upon a Christmas,1984.0,Steve Goldstein
Circle Game,Born for You,2000.0,Joni Mitchell
Closer by the Hour,Just the Two of Us,1968.0,Al Gore
Coke and Chips,"Tonite! At the Capri Lounge, Loretta Haggers",1976.0,Paul Grady
Cora Is Gone,Sandman,1977.0,Odell McLeod
Creepin' In,Feels Like Home,2004.0,Lee Alexander
Crimson and Clover,Those Were the Days,2005.0,Peter P. Lucia Jr.
Curse of the Wild Weed Flower,Two of a Kind,1971.0,Louis Owens
Daddy Did His Best,Porter & Dolly,1980.0,Jerry Chesnut
Daddy Did His Best,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Jerry Chesnut
Daddy Was an Old Time Preacher Man,Once More,1970.0,Dorothy Jo Hope
Daddy Was an Old Time Preacher Man,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Dorothy Jo Hope
Dixie Darling,Banjoman: A Tribute to Derroll Adams,2002.0,A.P. Carter
Do I Love You (Yes in Every Way),Duets,2013.0,Alain Joseph Yves Le Govic
Do I Love You (Yes in Every Way),Duets,2013.0,Maxime Piolot
Do I Love You (Yes in Every Way),Duets,2013.0,Michel Albert Louis Pelay
Do I Love You (Yes in Every Way),Duets,2013.0,Yves Dessca
Does He Love You,Revived Remixed Revisited,2021.0,Billy Stritch
Does He Love You,Revived Remixed Revisited,2021.0,Sandy Knox
Don't Step Over an Old Love,Don't Cheat in Our Hometown,1983.0,Fred Stryker
Dreaming My Dreams with You,Forget About It,1999.0,Allen Reynolds
Drifting Too Far from the Shore,Best of Grand Old Gospel 2008,2007.0,Charles E. Moody
Dumb Blonde,Dumplin',2018.0,Curly Putman
Each Season Changes You,Porter Wayne and Dolly Rebecca,1970.0,Ruth Talley
Evangeline,Evangeline,1981.0,Robbie Robertson
Even Cowgirls Get the Blues,Blue Kentucky Girl,1979.0,Rodney Crowell
Faith,Church,2019.0,Christian Karlsson
Faith,Church,2019.0,David Saint Fleur
Faith,Church,2019.0,Henrik Jonback
Faith,Church,2019.0,Jimmy Koitzsch
Faith,Church,2019.0,John Hiatt
Faith,Church,2019.0,Linus Eklöw
Faith,Church,2019.0,Sam James
Farther Along,Trio,1987.0,John Starling
Farther Along,The Complete Trio Collection,2016.0,John Starling
Feels Like Home,Trio II,1999.0,Randy Newman
Forever,Joyful Noise,2012.0,Andre Merritt
Forever,Joyful Noise,2012.0,Brian Kennedy
Forever,Joyful Noise,2012.0,Chris Brown
Forever,Joyful Noise,2012.0,Jamal Jones
Forever,Joyful Noise,2012.0,Rob Allen
Forever Country,Non-album single,2016.0,Bill Danoff
Forever Country,Non-album single,2016.0,John Denver
Forever Country,Non-album single,2016.0,Taffy Nivert
Forever Country,Non-album single,2016.0,Willie Nelson
Forty Miles from Poplar Bluff,Porter Wayne and Dolly Rebecca,1970.0,Frank Dycus
Four O Thirty Three,Just Between You and Me,1968.0,Bill Owens
Four O Thirty Three,Just Between You and Me,1968.0,Earl Montgomery
Friends Tell Friends,Bill Phillips' Style,1967.0,Bill Owens
God Only Knows,Non-album single,2019.0,Joel Smallbone
God Only Knows,Non-album single,2019.0,Jordan Reynolds
God Only Knows,Non-album single,2019.0,Josh Kerr
God Only Knows,Non-album single,2019.0,Luke Smallbone
God Only Knows,Non-album single,2019.0,Tedd Tjornhom
Good as Gold,"Always, Always",1969.0,Paul Martin
Good as Gold,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Paul Martin
Good Old Country Baptizin',"Tonite! At the Capri Lounge, Loretta Haggers",1976.0,Brian Ahern
Green Pastures,Roses in the Snow,1980.0,Brian Ahern
Grey Funnel Line,The Complete Trio Collection,2016.0,Cyril Tawney
Hand Me Downs,Non-album single,2021.0,Emily Lynch
Handful of Dust,The Complete Trio Collection,2016.0,Tony Arata
Happy All the Time,Glasshouse Children,2021.0,Mary Gauthier
"Happy, Happy Birthday Baby",The Winning Hand,1982.0,Gilbert Lopez
"Happy, Happy Birthday Baby",The Winning Hand,1982.0,Margo Sylvia
He Rode All the Way to Texas,Trio II,1999.0,John Starling
Healing Hands,Sonya Isaacs,2000.0,Keith Sewell
Heartbreaker's Alibi,All American Bluegrass Girl,2006.0,Honey Brassfield
Her and the Car and the Mobile Home,The Right Combination • Burning the Midnight Oil,1972.0,Dave Kirby
Her and the Car and the Mobile Home,The Right Combination • Burning the Midnight Oil,1972.0,Don Stock
Here Comes the Freedom Train,Single A-side,1973.0,Steve Lemberg
Here You Come Again,Dumplin',2018.0,Barry Mann
Here You Come Again,Dumplin',2018.0,Cynthia Weil
High Sierra,Trio II,1999.0,Harley Allen
Hobo's Meditation,Trio,1987.0,Jimmie Rodgers
Holding on to Nothin',Just the Two of Us,1968.0,Jerry Chesnut
Home Is Where the Hurt Is,Just Between You and Me,1968.0,Fred MacRae
Home Is Where the Hurt Is,Just Between You and Me,1968.0,Marge Barton
How Can I (Help You Forgive Me),Say Forever You'll Be Mine,1975.0,Tom Pick
I Am Strong,Country Classics with a Bluegrass Spin,2011.0,Jamie Johnson
I Am Strong,Country Classics with a Bluegrass Spin,2011.0,Jenee Fleenor
I Am Strong,Country Classics with a Bluegrass Spin,2011.0,Susanne Mumpower-Johnson
I Don't Believe You've Met My Baby,"Always, Always",1969.0,Autry Inman
I Dreamed of a Hillbilly Heaven,Honky Tonk Angels,1993.0,Eddie Dean
I Dreamed of a Hillbilly Heaven,Honky Tonk Angels,1993.0,Hal Southern
I Feel the Blues Movin' In,Trio II,1999.0,Del McCoury
I Forgot More Than You'll Ever Know,Honky Tonk Angels,1993.0,Cecil Null
I Know You by Heart,Rainbow,1987.0,Dean Pitchford
I Know You by Heart,Rainbow,1987.0,George Merrill
I Know You by Heart,Rainbow,1987.0,Shannon Rubicam
I Know You're Married But I Love You Still,Once More,1970.0,Don Reno
I Know You're Married But I Love You Still,Once More,1970.0,Mack Magaha
I Learned It Well,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Linda Carol Moore
I Really Don't Want to Know,Burlap & Satin,1983.0,Don Robertson
I Really Don't Want to Know,Burlap & Satin,1983.0,Howard Barnes
I Still Miss Someone,Timeless,2005.0,John R. Cash
I Still Miss Someone,Timeless,2005.0,Roy Cash Jr.
I Washed My Face in the Morning Dew,Just the Two of Us,1968.0,Tom T. Hall
I've Had Enough,Trio,1987.0,Kate McGarrigle
I've Had Enough,The Complete Trio Collection,2016.0,Kate McGarrigle
If I Lose,Sandman,1977.0,Ralph Stanley
If I Said You Had a Beautiful Body (Would You Hold It Against Me),"Angels & Outlaws, Vol. 1",2005.0,David Bellamy
If I Were a Carpenter,Those Were the Days,2005.0,James Timothy Hardin
If We Don't,Dumplin',2018.0,Linda Perry
If You Were Mine,Say Forever You'll Be Mine,1975.0,Randy Parton
In a Deep Sleep,The Complete Trio Collection,2016.0,Triona Ni Dhomhnaill
In the Garden by the Fountain,Taken,2010.0,Roger Brown
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,Joseph P. Webster
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,S. Fillmore Bennett
Imagine,Those Were the Days,2005.0,John Lennon
Is Forever Longer Than Always,Single A-side,1976.0,Frank Dycus
Islands in the Stream,Eyes That See in the Dark,1983.0,Barry Gibb
Islands in the Stream,Eyes That See in the Dark,1983.0,Maurice Gibb
Islands in the Stream,Eyes That See in the Dark,1983.0,Robin Gibb
Islands in the Stream,Live from London,2009.0,Barry Gibb
Islands in the Stream,Live from London,2009.0,Maurice Gibb
Islands in the Stream,Live from London,2009.0,Robin Gibb
Islands in the Stream,Live from Glastonbury 2014,2016.0,Barry Gibb
Islands in the Stream,Live from Glastonbury 2014,2016.0,Maurice Gibb
Islands in the Stream,Live from Glastonbury 2014,2016.0,Robin Gibb
It Looked Good on Paper,I'm Torn,2004.0,Carl Jackson
It Looked Good on Paper,I'm Torn,2004.0,Pam Tillis
It Might as Well Be Me,Porter Wayne and Dolly Rebecca,1970.0,Dorothy Jo Hope
It Wasn't God Who Made Honky Tonk Angels,Honky Tonk Angels,1993.0,J.D. Miller
It's Sure Gonna Hurt,Single A-side,1962.0,Bill Owens
Just Between You and Me,Just Between You and Me,1968.0,Jack Clement
Just Someone I Used to Know,Porter Wayne and Dolly Rebecca,1970.0,Jack Clement
Just the Two of Us,Just the Two of Us,1968.0,Jerry Chesnut
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Roger Miller
Knockin' on Heaven's Door,Heavenly,1997.0,Bob Dylan
Laugh the Years Away,Love and Music,1973.0,Howard Tuck
Lay Your Hands on Me,Live from Glastonbury 2014,2016.0,Jon Bon Jovi
Let's Live for Tonight,Once More,1970.0,Don Reno
Light of the Stable,Light of the Stable,1979.0,Elizabeth Rhymer
Light of the Stable,Light of the Stable,1979.0,Steven Rhymer
Listen to the Mockingbird,Divided & United: The Songs of the Civil War,2013.0,Richard Milburn
Listen to the Mockingbird,Divided & United: The Songs of the Civil War,2013.0,Septimus Winner
Love and Music,Love and Music,1973.0,Carl Butler
Love City,We Found It,1973.0,Tom Pick
Love Is Here to Stay,Gershwin Country,2022.0,George Gershwin
Love Is Here to Stay,Gershwin Country,2022.0,Ira Gershwin
Love Is Out Tonight,Love and Music,1973.0,Tom Pick
Love Is Strange,Love Is Strange,1990.0,Ellas McDaniel
Love Is Strange,Love Is Strange,1990.0,Mickey Baker
Love Is Strange,Love Is Strange,1990.0,Sylvia Robinson
Love to See Us Through,Say Forever You'll Be Mine,1975.0,Al Gore
Love to See Us Through,Say Forever You'll Be Mine,1975.0,Frank Dycus
Lover's Return,Trio II,1999.0,A.P. Carter
Lover's Return,Trio II,1999.0,Maybelle Carter
Lover's Return,Trio II,1999.0,Sara Carter
Lover's Return,The Complete Trio Collection,2016.0,A.P. Carter
Lover's Return,The Complete Trio Collection,2016.0,Maybelle Carter
Lover's Return,The Complete Trio Collection,2016.0,Sara Carter
Lovesick Blues,Honky Tonk Angels,1993.0,Cliff Friend
Lovesick Blues,Honky Tonk Angels,1993.0,Irving Mills
Loving You Too Well,Clinch Mountain Sweethearts,2001.0,Carter Stanley
Made for Loving You,Write 'Em Sad–Sing 'Em Lonesome,2010.0,Sonny Throckmorton
Making Plans,Porter & Dolly,1980.0,Johnny Russell
Making Plans,Porter & Dolly,1980.0,Voni Morrison
Making Plans,Trio,1987.0,Johnny Russell
Making Plans,Trio,1987.0,Voni Morrison
Making Plans,Actin' Naturally,2000.0,Voni Morrison
Making Plans,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Johnny Russell
Making Plans,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Voni Morrison
Making Plans,The Complete Trio Collection,2016.0,Johnny Russell
Making Plans,The Complete Trio Collection,2016.0,Voni Morrison
Mathilda (I Cry and Cry for You),Single A-side,1970.0,George Khoury
Mathilda (I Cry and Cry for You),Single A-side,1970.0,Huey Thierry
Me and Bobby McGee,Those Were the Days,2005.0,Fred Foster
"Milwaukee, Here I Come","Always, Always",1969.0,Lee Fikes
Mister Sandman,Evangeline,1981.0,Pat Ballard
My Dear Companion,Trio,1987.0,Jean Ritchie
My Dear Companion,The Complete Trio Collection,2016.0,Jean Ritchie
My Father's Daughter,Picking Up the Pieces,2015.0,Jewel Kilcher
My Father's Daughter,Picking Up the Pieces,2015.0,Lisa Carver
My Perfect Reason,Whisperin' Bluegrass,2007.0,Clint Daniels
No Love Left,Porter Wayne and Dolly Rebecca,1970.0,Bill Owens
Nobody But You,Dolly,2009.0,Marle Jones
Nobody But You,Dolly,2009.0,Robert Stanley Riley Sr.
Old Flames Can't Hold a Candle to You,Rainbow,2017.0,Hugh Moffatt
Old Flames Can't Hold a Candle to You,Rainbow,2017.0,Pebe Sebert
On and On,The Right Combination • Burning the Midnight Oil,1972.0,Eddie Sovine
Once More,Once More,1970.0,Dusty Owens
One Angel,Gentle Man,2021.0,Sandy Emory Lawrence
One by One,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Jack Anglin
One by One,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Jim Anglin
One by One,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Johnnie Wright
One Day at a Time,Once More,1970.0,Joe Babcock
Only My Pillow Knows,Born for You,2000.0,David Friedman
Only My Pillow Knows,Born for You,2000.0,Kathie Lee Gifford
Our Love,Say Forever You'll Be Mine,1975.0,Al Gore
Our Love,Say Forever You'll Be Mine,1975.0,Frank Dycus
Ping Pong,The Winning Hand,1982.0,Boudleaux Bryant
Pink,Non-album single,2020.0,Erin Kinsey
Pink,Non-album single,2020.0,Jodi Marr
Pink,Non-album single,2020.0,Victoria Shaw
Please,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,2018.0,Bernie Taupin
Please,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,2018.0,Elton John
Please Help Me I'm Falling (In Love with You),Honky Tonk Angels,1993.0,Don Robertson
Please Help Me I'm Falling (In Love with You),Honky Tonk Angels,1993.0,Hal Blair
Possum Holler,Two of a Kind,1971.0,Dallas Frazier
Push and Pull,Dumplin',2018.0,Linda Perry
Put a Little Love in Your Heart,Slow Dancing with the Moon,1993.0,Jackie DeShannon
Put a Little Love in Your Heart,Slow Dancing with the Moon,1993.0,Jimmy Holliday
Put a Little Love in Your Heart,Slow Dancing with the Moon,1993.0,Randy Myers
Put It Off Until Tomorrow,Put It Off Until Tomorrow,1966.0,Bill Owens
Put It Off Until Tomorrow,Just Between You and Me,1968.0,Bill Owens
Put It Off Until Tomorrow,The Winning Hand,1982.0,Bill Owens
Put It Off Until Tomorrow,Honky Tonk Angels,1993.0,Bill Owens
Rainbowland,Younger Now,2017.0,Oren Yoel
Real Love,Real Love,1985.0,David Malloy
Real Love,Real Love,1985.0,Randy McCormick
Real Love,Real Love,1985.0,"Richard ""Spady"" Brannan"
Road to Bethlehem,The Sounds of Christmas,2018.0,Jeff Bates
Road to Bethlehem,The Sounds of Christmas,2018.0,Jimmy Fortune
Rockin' Years,Eagle When She Flies,1991.0,Floyd Parton
Rockin' Years,Burn Your Playhouse Down: The Unreleased Duets,2008.0,Floyd Parton
Rosewood Casket,Trio,1987.0,Avie Lee Parton
Satisfied,Vestal & Friends,1999.0,Martha Carson
Silent Night,The Christ (A Song for Joseph),2005.0,Franz Xaver Gruber
Silent Night,The Christ (A Song for Joseph),2005.0,Joseph Mohr
Silver Threads and Golden Needles,Honky Tonk Angels,1993.0,Dick Reynolds
Silver Threads and Golden Needles,Honky Tonk Angels,1993.0,Jack Rhodes
Sittin' on the Front Porch Swing,Honky Tonk Angels,1993.0,Buddy Sheffield
Sixteen Years,Porter 'n' Dolly,1974.0,Tom Pick
Slip Away Today,Just the Two of Us,1968.0,Curly Putman
Slippin' Around,The Influence,2004.0,Floyd Tilman
Smoky Mountain Rain,The Duets,2019.0,Dennis Morgan
Smoky Mountain Rain,The Duets,2019.0,Kye Fleming
Softly and Tenderly,Songbird: Rare Tracks and Forgotten Gems,2007.0,Will L. Thompson
Someone Just Like You,Porter & Dolly,1980.0,Joe Hudgins
Someone Just Like You,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Joe Hudgins
Somewhere Between,Just the Two of Us,1968.0,Merle Haggard
Sorrow's Tearing Down the House (That Happiness Once Built),Just Between You and Me,1968.0,Kent Westberry
Sorrow's Tearing Down the House (That Happiness Once Built),Just Between You and Me,1968.0,Mel Tillis
Tangled Vines,Playlist: The Very Best of Porter Wagoner & Dolly Parton,2012.0,Damon Black
Tell Me That You Love Me,The First 50 Years,2009.0,Buffy Lawson
Tell Me That You Love Me,The First 50 Years,2009.0,Eric Pittarelli
Tell Me That You Love Me,The First 50 Years,2009.0,Todd Cerney
Telling Me Lies,Trio,1987.0,Betsy Cook
Telling Me Lies,Trio,1987.0,Linda Thompson
Thank God I'm a Country Boy,Thank God I'm a Country Boy,2004.0,John Sommers
The Angels Rejoiced,"Livin', Lovin', Losin': Songs of the Louvin Brothers",2003.0,Charlie Louvin
The Angels Rejoiced,"Livin', Lovin', Losin': Songs of the Louvin Brothers",2003.0,Ira Louvin
The Blue Train,Trio II,1999.0,Jennifer Kimball
The Blue Train,Trio II,1999.0,Tom Kimmel
The Blues Ain't Workin' on Me,Trouble Free,1996.0,George Teren
The Blues Ain't Workin' on Me,Trouble Free,1996.0,Tom Shapiro
The Blues Man,Hits I Missed...And One I Didn't,2005.0,Hank Williams Jr.
The Bright Blue Rose,Naked with Friends,2009.0,Jimmy MacCarthy
The Carroll County Accident,Spartanburg Blues,2018.0,Bob Ferguson
The Dark End of the Street,Just the Two of Us,1968.0,Chips Moman
The Dark End of the Street,Just the Two of Us,1968.0,Dan Penn
The Day I Fall in Love,Beethoven's 2nd,1993.0,Carole Bayer Sager
The Day I Fall in Love,Beethoven's 2nd,1993.0,Cliff Magness
The Fog Has Lifted,The Right Combination • Burning the Midnight Oil,1972.0,Dave Kirby
The Fog Has Lifted,The Right Combination • Burning the Midnight Oil,1972.0,Don Stock
The Greatest Gift of All,Once Upon a Christmas,1984.0,John Jarvis
The House Where Love Lives,"Always, Always",1969.0,Leona Reese
The Last Thing on My Mind,Just Between You and Me,1968.0,Tom Paxton
The Last Thing on My Mind,Rare Country Legends Live,2009.0,Tom Paxton
The Last Word in Lonesome Is Me,King of the Road: A Tribute to Roger Miller,2018.0,Roger Miller
The Love You Gave,"""It's Sure Gonna Hurt"" B-side",1962.0,Marie Jones
The Love You Gave,"""It's Sure Gonna Hurt"" B-side",1962.0,Robert Riley
The Pain of Loving You,Trio,1987.0,Porter Wagoner
The Pain of Loving You,Country Classics with a Bluegrass Spin,2011.0,Porter Wagoner
The Right Time,Brother Clyde,2010.0,Billy Ray Cyrus
The Right Time,Brother Clyde,2010.0,Morris Joseph Tancredi
There Never Was a Time,"Always, Always",1969.0,Margaret Lewis
There Never Was a Time,"Always, Always",1969.0,Myra Smith
There Was Jesus,Rescue Story,2019.0,Casey Beathard
There Was Jesus,Rescue Story,2019.0,Jonathan Smith
This Old House,Gospel Duets with Treasured Friends,2007.0,Stuart Hamblen
This Time Has Gotta Be Our Last Time,Just Between You and Me,1968.0,Bill Owens
Those Memories of You,Trio,1987.0,Alan O'Bryant
Those Were the Days,Those Were the Days,2005.0,Gene Raskin
Thoughtfulness,Once More,1970.0,Bill Owens
Through Thick and Thin,The Right Combination • Burning the Midnight Oil,1972.0,Bill Owens
To Know Him Is to Love Him,Trio,1987.0,Phil Spector
"Today, Tomorrow and Forever",Two of a Kind,1971.0,Bill Owens
Touching Memories,Porter & Dolly,1980.0,Tom Pick
Touching Memories,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Tom Pick
"Train, Train",Eric Lee Beddingfield,2007.0,Shorty Medlocke
True Blue,Les grands espaces,2011.0,James Newton Howard
"Turn, Turn, Turn (To Everything There Is a Season)",Those Were the Days,2005.0,Pete Seeger
Twelfth of Never,Those Were the Days,2005.0,Emily Bree Stevenson
Twelfth of Never,Those Were the Days,2005.0,Lisa Lee Reagan
Two of the Lucky Ones,Lucky Man,2001.0,Jon Davis
Two of the Lucky Ones,Lucky Man,2001.0,Sherrié Austin
Two of the Lucky Ones,Lucky Man,2001.0,Will Rambeaux
Two Sides to Every Story,Just Between You and Me,1968.0,Bill Owens
Two Sides to Every Story,A Real Live Dolly,1970.0,Bill Owens
Unwed Fathers,Where Is a Woman to Go,1984.0,Bobby Braddock
Unwed Fathers,Where Is a Woman to Go,1984.0,John Prine
Violet and a Rose,It's All Relative: Tillis Sings Tillis,2002.0,John Reinfeld
Violet and a Rose,It's All Relative: Tillis Sings Tillis,2002.0,Little Jimmy Dickens
Violet and a Rose,It's All Relative: Tillis Sings Tillis,2002.0,Mel Tillis
Violet and a Rose,It's All Relative: Tillis Sings Tillis,2002.0,Thresa Auge
 Viva Las Vegas,The Grascals,2005.0,Doc Pomus
 Viva Las Vegas,The Grascals,2005.0,Mort Shuman
Waitin' for the Phone to Ring,Up Against My Heart,1991.0,Bob Tassi
Waitin' for the Phone to Ring,Up Against My Heart,1991.0,Joe Tassi
Waltz Across Texas Tonight,The Complete Trio Collection,2016.0,Rodney Crowell
Wave to the World,Non-album single,2000.0,Gary Burr
Wave to the World,Non-album single,2000.0,Joe Henry
We Can't Let This Happen to Us,Porter Wayne and Dolly Rebecca,1970.0,Dorothy Jo Hope
We'll Get Ahead Someday,Just the Two of Us,1968.0,Mack Magaha
We're Through Forever ('Til Tomorrow),Heartbreaker,1978.0,Blaise Tosti
What Do You Think About Lovin',The Winning Hand,1982.0,Bill Owens
When I Get Where I'm Going,Time Well Wasted,2005.0,George Teren
When I Get Where I'm Going,Time Well Wasted,2005.0,Rivers Rutherford
When I Stop Dreaming,Luxury Liner,1976.0,Charlie Louvin
When I Stop Dreaming,Luxury Liner,1976.0,Ira Louvin
When I Stop Dreaming,Cass County,2015.0,Charlie Louvin
When I Stop Dreaming,Cass County,2015.0,Ira Louvin
"When We're Gone, Long Gone",Trio II,1999.0,James Paul O'Hara
"When We're Gone, Long Gone",Trio II,1999.0,Kieran Kane
When You Tell Me That You Love Me,Crazy,1994.0,Albert Hammond
When You Tell Me That You Love Me,Crazy,1994.0,John Bettis
Whenever Forever Comes,Slow Dancing with the Moon,1993.0,Allen Shamblin
Whenever Forever Comes,Slow Dancing with the Moon,1993.0,Austin Cunningham
Whenever Forever Comes,Slow Dancing with the Moon,1993.0,Chuck Cannon
Where Have All the Flowers Gone,Those Were the Days,2005.0,Pete Seeger
Where the Grass Won't Grow,The Bradley Barn Sessions,1994.0,Earl Montgomery
Where the Soul Never Dies,Company's Comin',2021.0,William M. Golden
Where Will the Words Come From,The Complete Trio Collection,2016.0,Glen D. Hardin
Where Will the Words Come From,The Complete Trio Collection,2016.0,Sonny Curtis
Why Don't You Haul Off & Love Me,"Always, Always",1969.0,Lonnie Glosson
Why Don't You Haul Off & Love Me,"Always, Always",1969.0,Wayne Raney
Wings of a Dove,Honky Tonk Angels,1993.0,Bob Ferguson
Wonderful Christmas Time,Chicago XXXIII: O Christmas Three,2011.0,Paul McCartney
Words,"Greenfields: The Gibb Brothers' Songbook, Vol. 1",2021.0,Maurice Gibb
Words,"Greenfields: The Gibb Brothers' Songbook, Vol. 1",2021.0,Robin Gibb
You Can't Make Old Friends,You Can't Make Old Friends,2013.0,Caitlyn Smith
You Can't Make Old Friends,You Can't Make Old Friends,2013.0,Don Schlitz
You Can't Make Old Friends,You Can't Make Old Friends,2013.0,Ryan Hanna King
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Donald Clint Goodman
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Samuel Courtney Mizell
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,William D. Nash
You Don't Knock,The Complete Trio Collection,2016.0,Roebuck Staples
You Don't Knock,The Complete Trio Collection,2016.0,Wesley Westbrooks
(You Got Me Over) A Heartache Tonight,Slow Dancing with the Moon,1993.0,Larry Weiss
You'll Never Be the Sun,Trio II,1999.0,Donagh Long
You've Lost That Lovin' Feeling,Up on the Roof: Songs from the Brill Building,1993.0,Barry Mann
You've Lost That Lovin' Feeling,Up on the Roof: Songs from the Brill Building,1993.0,Cynthia Weil
You've Lost That Lovin' Feeling,Up on the Roof: Songs from the Brill Building,1993.0,Phil Spector
Your Kisses Are Charity,Cold Shoulder,1999.0,George O'Dowd
Your Kisses Are Charity,Cold Shoulder,1999.0,John Themis
Your Kisses Are Charity,Cold Shoulder,1999.0,Jon Moss
Your Kisses Are Charity,Cold Shoulder,1999.0,Mikey Craig
Your Kisses Are Charity,Cold Shoulder,1999.0,Roy Hay
Yours Love,"Always, Always",1969.0,Harlan Howard
